StateCode;State;Year;Race;Population
AL;Alabama;1990;White;2987764.0
AL;Alabama;1991;White;3018779.0
AL;Alabama;1992;White;3051680.0
AL;Alabama;1993;White;3088449.0
AL;Alabama;1994;White;3114389.0
AL;Alabama;1995;White;3134093.0
AL;Alabama;1996;White;3154959.0
AL;Alabama;1997;White;3174843.0
AL;Alabama;1998;White;3198040.0
AL;Alabama;1999;White;3211308.0
AL;Alabama;2000;White;3196875.0
AL;Alabama;2001;White;3201387.0
AL;Alabama;2002;White;3204279.0
AL;Alabama;2003;White;3215079.0
AL;Alabama;2004;White;3227772.0
AL;Alabama;2005;White;3249443.0
AL;Alabama;2006;White;3283056.0
AL;Alabama;2007;White;3308005.0
AL;Alabama;2008;White;3332141.0
AL;Alabama;2009;White;3353244.0
AL;Alabama;2010;White;3365601.0
AL;Alabama;2011;White;3369470.0
AL;Alabama;2012;White;3371405.0
AL;Alabama;2013;White;3372664.0
AL;Alabama;2014;White;3373933.0
AL;Alabama;2015;White;3373069.0
AL;Alabama;2016;White;3375201.0
AL;Alabama;2017;White;3377213.0
AL;Alabama;2018;White;3382325.0
AL;Alabama;2019;White;3390485.0
AL;Alabama;2020;White;3473188.0
AL;Alabama;2021;White;3481897.0
AL;Alabama;2022;White;3496988.0
AL;Alabama;2023;White;3523230.0
AL;Alabama;2024;White;3545537.0
AK;Alaska;1990;White;423276.0
AK;Alaska;1991;White;436361.0
AK;Alaska;1992;White;449292.0
AK;Alaska;1993;White;454995.0
AK;Alaska;1994;White;456674.0
AK;Alaska;1995;White;456965.0
AK;Alaska;1996;White;457769.0
AK;Alaska;1997;White;457908.0
AK;Alaska;1998;White;460556.0
AK;Alaska;1999;White;462052.0
AK;Alaska;2000;White;446506.0
AK;Alaska;2001;White;448602.0
AK;Alaska;2002;White;452784.0
AK;Alaska;2003;White;454912.0
AK;Alaska;2004;White;460845.0
AK;Alaska;2005;White;464201.0
AK;Alaska;2006;White;468452.0
AK;Alaska;2007;White;469996.0
AK;Alaska;2008;White;472582.0
AK;Alaska;2009;White;477369.0
AK;Alaska;2010;White;485929.0
AK;Alaska;2011;White;489253.0
AK;Alaska;2012;White;492463.0
AK;Alaska;2013;White;494334.0
AK;Alaska;2014;White;491682.0
AK;Alaska;2015;White;490194.0
AK;Alaska;2016;White;490043.0
AK;Alaska;2017;White;485311.0
AK;Alaska;2018;White;480179.0
AK;Alaska;2019;White;476519.0
AK;Alaska;2020;White;473610.0
AK;Alaska;2021;White;473093.0
AK;Alaska;2022;White;472012.0
AK;Alaska;2023;White;471949.0
AK;Alaska;2024;White;471980.0
AZ;Arizona;1990;White;3293186.0
AZ;Arizona;1991;White;3380441.0
AZ;Arizona;1992;White;3490693.0
AZ;Arizona;1993;White;3620665.0
AZ;Arizona;1994;White;3778735.0
AZ;Arizona;1995;White;3941788.0
AZ;Arizona;1996;White;4075957.0
AZ;Arizona;1997;White;4207817.0
AZ;Arizona;1998;White;4337508.0
AZ;Arizona;1999;White;4460582.0
AZ;Arizona;2000;White;4542461.0
AZ;Arizona;2001;White;4629736.0
AZ;Arizona;2002;White;4723484.0
AZ;Arizona;2003;White;4808335.0
AZ;Arizona;2004;White;4915749.0
AZ;Arizona;2005;White;5057542.0
AZ;Arizona;2006;White;5196133.0
AZ;Arizona;2007;White;5290642.0
AZ;Arizona;2008;White;5361814.0
AZ;Arizona;2009;White;5391934.0
AZ;Arizona;2010;White;5428205.0
AZ;Arizona;2011;White;5466291.0
AZ;Arizona;2012;White;5518374.0
AZ;Arizona;2013;White;5565999.0
AZ;Arizona;2014;White;5630353.0
AZ;Arizona;2015;White;5697673.0
AZ;Arizona;2016;White;5771056.0
AZ;Arizona;2017;White;5841128.0
AZ;Arizona;2018;White;5923424.0
AZ;Arizona;2019;White;6013191.0
AZ;Arizona;2020;White;5905101.0
AZ;Arizona;2021;White;5965120.0
AZ;Arizona;2022;White;6026817.0
AZ;Arizona;2023;White;6077886.0
AZ;Arizona;2024;White;6137861.0
AR;Arkansas;1990;White;1956611.0
AR;Arkansas;1991;White;1977662.0
AR;Arkansas;1992;White;2002832.0
AR;Arkansas;1993;White;2034508.0
AR;Arkansas;1994;White;2066260.0
AR;Arkansas;1995;White;2099481.0
AR;Arkansas;1996;White;2127070.0
AR;Arkansas;1997;White;2149156.0
AR;Arkansas;1998;White;2168119.0
AR;Arkansas;1999;White;2187944.0
AR;Arkansas;2000;White;2186443.0
AR;Arkansas;2001;White;2193483.0
AR;Arkansas;2002;White;2202027.0
AR;Arkansas;2003;White;2214256.0
AR;Arkansas;2004;White;2231084.0
AR;Arkansas;2005;White;2253503.0
AR;Arkansas;2006;White;2281831.0
AR;Arkansas;2007;White;2301121.0
AR;Arkansas;2008;White;2317769.0
AR;Arkansas;2009;White;2331280.0
AR;Arkansas;2010;White;2346352.0
AR;Arkansas;2011;White;2357574.0
AR;Arkansas;2012;White;2362125.0
AR;Arkansas;2013;White;2363967.0
AR;Arkansas;2014;White;2366231.0
AR;Arkansas;2015;White;2369760.0
AR;Arkansas;2016;White;2373398.0
AR;Arkansas;2017;White;2378313.0
AR;Arkansas;2018;White;2381131.0
AR;Arkansas;2019;White;2384331.0
AR;Arkansas;2020;White;2372588.0
AR;Arkansas;2021;White;2379475.0
AR;Arkansas;2022;White;2392201.0
AR;Arkansas;2023;White;2405333.0
AR;Arkansas;2024;White;2415105.0
CA;California;1990;White;24354238.0
CA;California;1991;White;24674660.0
CA;California;1992;White;24987762.0
CA;California;1993;White;25131240.0
CA;California;1994;White;25214253.0
CA;California;1995;White;25298010.0
CA;California;1996;White;25484457.0
CA;California;1997;White;25795077.0
CA;California;1998;White;26141690.0
CA;California;1999;White;26492434.0
CA;California;2000;White;26421365.0
CA;California;2001;White;26685881.0
CA;California;2002;White;26874787.0
CA;California;2003;White;27053595.0
CA;California;2004;White;27181516.0
CA;California;2005;White;27239976.0
CA;California;2006;White;27242743.0
CA;California;2007;White;27274909.0
CA;California;2008;White;27402890.0
CA;California;2009;White;27529082.0
CA;California;2010;White;27665770.0
CA;California;2011;White;27812396.0
CA;California;2012;White;27952190.0
CA;California;2013;White;28078052.0
CA;California;2014;White;28209869.0
CA;California;2015;White;28316294.0
CA;California;2016;White;28376604.0
CA;California;2017;White;28386645.0
CA;California;2018;White;28344812.0
CA;California;2019;White;28233838.0
CA;California;2020;White;28174414.0
CA;California;2021;White;27812160.0
CA;California;2022;White;27649459.0
CA;California;2023;White;27532477.0
CA;California;2024;White;27538266.0
CO;Colorado;1990;White;3077815.0
CO;Colorado;1991;White;3147468.0
CO;Colorado;1992;White;3243680.0
CO;Colorado;1993;White;3347961.0
CO;Colorado;1994;White;3446691.0
CO;Colorado;1995;White;3537859.0
CO;Colorado;1996;White;3619895.0
CO;Colorado;1997;White;3705889.0
CO;Colorado;1998;White;3788970.0
CO;Colorado;1999;White;3882901.0
CO;Colorado;2000;White;3924356.0
CO;Colorado;2001;White;4003807.0
CO;Colorado;2002;White;4052788.0
CO;Colorado;2003;White;4080217.0
CO;Colorado;2004;White;4110950.0
CO;Colorado;2005;White;4153715.0
CO;Colorado;2006;White;4222448.0
CO;Colorado;2007;White;4287008.0
CO;Colorado;2008;White;4351612.0
CO;Colorado;2009;White;4411960.0
CO;Colorado;2010;White;4464394.0
CO;Colorado;2011;White;4522379.0
CO;Colorado;2012;White;4576592.0
CO;Colorado;2013;White;4634362.0
CO;Colorado;2014;White;4696061.0
CO;Colorado;2015;White;4773481.0
CO;Colorado;2016;White;4841849.0
CO;Colorado;2017;White;4896891.0
CO;Colorado;2018;White;4955043.0
CO;Colorado;2019;White;5000945.0
CO;Colorado;2020;White;5016074.0
CO;Colorado;2021;White;5026657.0
CO;Colorado;2022;White;5041632.0
CO;Colorado;2023;White;5063993.0
CO;Colorado;2024;White;5088948.0
CT;Connecticut;1990;White;2949149.0
CT;Connecticut;1991;White;2947130.0
CT;Connecticut;1992;White;2936159.0
CT;Connecticut;1993;White;2933031.0
CT;Connecticut;1994;White;2931497.0
CT;Connecticut;1995;White;2930121.0
CT;Connecticut;1996;White;2932966.0
CT;Connecticut;1997;White;2934597.0
CT;Connecticut;1998;White;2937632.0
CT;Connecticut;1999;White;2944775.0
CT;Connecticut;2000;White;2936355.0
CT;Connecticut;2001;White;2943314.0
CT;Connecticut;2002;White;2952581.0
CT;Connecticut;2003;White;2961169.0
CT;Connecticut;2004;White;2959756.0
CT;Connecticut;2005;White;2956769.0
CT;Connecticut;2006;White;2952473.0
CT;Connecticut;2007;White;2947983.0
CT;Connecticut;2008;White;2950893.0
CT;Connecticut;2009;White;2950870.0
CT;Connecticut;2010;White;2952630.0
CT;Connecticut;2011;White;2949902.0
CT;Connecticut;2012;White;2943568.0
CT;Connecticut;2013;White;2933936.0
CT;Connecticut;2014;White;2921451.0
CT;Connecticut;2015;White;2902891.0
CT;Connecticut;2016;White;2884727.0
CT;Connecticut;2017;White;2868631.0
CT;Connecticut;2018;White;2855565.0
CT;Connecticut;2019;White;2835463.0
CT;Connecticut;2020;White;2833201.0
CT;Connecticut;2021;White;2842729.0
CT;Connecticut;2022;White;2833539.0
CT;Connecticut;2023;White;2835243.0
CT;Connecticut;2024;White;2840852.0
DE;Delaware;1990;White;543973.0
DE;Delaware;1991;White;552204.0
DE;Delaware;1992;White;558943.0
DE;Delaware;1993;White;565786.0
DE;Delaware;1994;White;571852.0
DE;Delaware;1995;White;578532.0
DE;Delaware;1996;White;584692.0
DE;Delaware;1997;White;589356.0
DE;Delaware;1998;White;595317.0
DE;Delaware;1999;White;601213.0
DE;Delaware;2000;White;602544.0
DE;Delaware;2001;White;605604.0
DE;Delaware;2002;White;609830.0
DE;Delaware;2003;White;614839.0
DE;Delaware;2004;White;620674.0
DE;Delaware;2005;White;626708.0
DE;Delaware;2006;White;632832.0
DE;Delaware;2007;White;637429.0
DE;Delaware;2008;White;642053.0
DE;Delaware;2009;White;643755.0
DE;Delaware;2010;White;646381.0
DE;Delaware;2011;White;649122.0
DE;Delaware;2012;White;652586.0
DE;Delaware;2013;White;655565.0
DE;Delaware;2014;White;659123.0
DE;Delaware;2015;White;661926.0
DE;Delaware;2016;White;664593.0
DE;Delaware;2017;White;667360.0
DE;Delaware;2018;White;670278.0
DE;Delaware;2019;White;673449.0
DE;Delaware;2020;White;681387.0
DE;Delaware;2021;White;687551.0
DE;Delaware;2022;White;693306.0
DE;Delaware;2023;White;698664.0
DE;Delaware;2024;White;703988.0
DC;District of Columbia;1990;White;191834.0
DC;District of Columbia;1991;White;187385.0
DC;District of Columbia;1992;White;185545.0
DC;District of Columbia;1993;White;186393.0
DC;District of Columbia;1994;White;187022.0
DC;District of Columbia;1995;White;186961.0
DC;District of Columbia;1996;White;187588.0
DC;District of Columbia;1997;White;189676.0
DC;District of Columbia;1998;White;191794.0
DC;District of Columbia;1999;White;197359.0
DC;District of Columbia;2000;White;197141.0
DC;District of Columbia;2001;White;202592.0
DC;District of Columbia;2002;White;204051.0
DC;District of Columbia;2003;White;203997.0
DC;District of Columbia;2004;White;207551.0
DC;District of Columbia;2005;White;212613.0
DC;District of Columbia;2006;White;218088.0
DC;District of Columbia;2007;White;225204.0
DC;District of Columbia;2008;White;231736.0
DC;District of Columbia;2009;White;243218.0
DC;District of Columbia;2010;White;253637.0
DC;District of Columbia;2011;White;263669.0
DC;District of Columbia;2012;White;273652.0
DC;District of Columbia;2013;White;282152.0
DC;District of Columbia;2014;White;289837.0
DC;District of Columbia;2015;White;298776.0
DC;District of Columbia;2016;White;306130.0
DC;District of Columbia;2017;White;313408.0
DC;District of Columbia;2018;White;319355.0
DC;District of Columbia;2019;White;324529.0
DC;District of Columbia;2020;White;306581.0
DC;District of Columbia;2021;White;306949.0
DC;District of Columbia;2022;White;313765.0
DC;District of Columbia;2023;White;320155.0
DC;District of Columbia;2024;White;328752.0
FL;Florida;1990;White;11042189.0
FL;Florida;1991;White;11293007.0
FL;Florida;1992;White;11487566.0
FL;Florida;1993;White;11681123.0
FL;Florida;1994;White;11903819.0
FL;Florida;1995;White;12115958.0
FL;Florida;1996;White;12343633.0
FL;Florida;1997;White;12579180.0
FL;Florida;1998;White;12792124.0
FL;Florida;1999;White;12978723.0
FL;Florida;2000;White;13084373.0
FL;Florida;2001;White;13288274.0
FL;Florida;2002;White;13511056.0
FL;Florida;2003;White;13718024.0
FL;Florida;2004;White;14002125.0
FL;Florida;2005;White;14289528.0
FL;Florida;2006;White;14485480.0
FL;Florida;2007;White;14593854.0
FL;Florida;2008;White;14667399.0
FL;Florida;2009;White;14720593.0
FL;Florida;2010;White;14833341.0
FL;Florida;2011;White;14945414.0
FL;Florida;2012;White;15092476.0
FL;Florida;2013;White;15251100.0
FL;Florida;2014;White;15453163.0
FL;Florida;2015;White;15709518.0
FL;Florida;2016;White;15999452.0
FL;Florida;2017;White;16242139.0
FL;Florida;2018;White;16429818.0
FL;Florida;2019;White;16585364.0
FL;Florida;2020;White;16617821.0
FL;Florida;2021;White;16785530.0
FL;Florida;2022;White;17177930.0
FL;Florida;2023;White;17542406.0
FL;Florida;2024;White;17857063.0
GA;Georgia;1990;White;4659378.0
GA;Georgia;1991;White;4739754.0
GA;Georgia;1992;White;4835711.0
GA;Georgia;1993;White;4924005.0
GA;Georgia;1994;White;5023106.0
GA;Georgia;1995;White;5118945.0
GA;Georgia;1996;White;5213151.0
GA;Georgia;1997;White;5314122.0
GA;Georgia;1998;White;5408633.0
GA;Georgia;1999;White;5503608.0
GA;Georgia;2000;White;5556989.0
GA;Georgia;2001;White;5626978.0
GA;Georgia;2002;White;5682323.0
GA;Georgia;2003;White;5728088.0
GA;Georgia;2004;White;5788756.0
GA;Georgia;2005;White;5854820.0
GA;Georgia;2006;White;5953097.0
GA;Georgia;2007;White;6035687.0
GA;Georgia;2008;White;6094787.0
GA;Georgia;2009;White;6128558.0
GA;Georgia;2010;White;6151949.0
GA;Georgia;2011;White;6173045.0
GA;Georgia;2012;White;6203169.0
GA;Georgia;2013;White;6212238.0
GA;Georgia;2014;White;6234939.0
GA;Georgia;2015;White;6266117.0
GA;Georgia;2016;White;6301676.0
GA;Georgia;2017;White;6329388.0
GA;Georgia;2018;White;6355665.0
GA;Georgia;2019;White;6384844.0
GA;Georgia;2020;White;6409763.0
GA;Georgia;2021;White;6416789.0
GA;Georgia;2022;White;6449615.0
GA;Georgia;2023;White;6487081.0
GA;Georgia;2024;White;6519858.0
HI;Hawaii;1990;White;377435.0
HI;Hawaii;1991;White;383312.0
HI;Hawaii;1992;White;387170.0
HI;Hawaii;1993;White;385126.0
HI;Hawaii;1994;White;383980.0
HI;Hawaii;1995;White;381042.0
HI;Hawaii;1996;White;377036.0
HI;Hawaii;1997;White;373664.0
HI;Hawaii;1998;White;369532.0
HI;Hawaii;1999;White;362728.0
HI;Hawaii;2000;White;311643.0
HI;Hawaii;2001;White;317697.0
HI;Hawaii;2002;White;323116.0
HI;Hawaii;2003;White;325671.0
HI;Hawaii;2004;White;331483.0
HI;Hawaii;2005;White;338640.0
HI;Hawaii;2006;White;344813.0
HI;Hawaii;2007;White;341883.0
HI;Hawaii;2008;White;345948.0
HI;Hawaii;2009;White;347116.0
HI;Hawaii;2010;White;349411.0
HI;Hawaii;2011;White;352416.0
HI;Hawaii;2012;White;357153.0
HI;Hawaii;2013;White;363093.0
HI;Hawaii;2014;White;365195.0
HI;Hawaii;2015;White;367803.0
HI;Hawaii;2016;White;368544.0
HI;Hawaii;2017;White;365026.0
HI;Hawaii;2018;White;362334.0
HI;Hawaii;2019;White;358640.0
HI;Hawaii;2020;White;362487.0
HI;Hawaii;2021;White;362182.0
HI;Hawaii;2022;White;361477.0
HI;Hawaii;2023;White;362397.0
HI;Hawaii;2024;White;362285.0
ID;Idaho;1990;White;985151.0
ID;Idaho;1991;White;1013172.0
ID;Idaho;1992;White;1042395.0
ID;Idaho;1993;White;1077939.0
ID;Idaho;1994;White;1113457.0
ID;Idaho;1995;White;1144059.0
ID;Idaho;1996;White;1168649.0
ID;Idaho;1997;White;1192537.0
ID;Idaho;1998;White;1214339.0
ID;Idaho;1999;White;1236009.0
ID;Idaho;2000;White;1244029.0
ID;Idaho;2001;White;1261313.0
ID;Idaho;2002;White;1278798.0
ID;Idaho;2003;White;1298524.0
ID;Idaho;2004;White;1323502.0
ID;Idaho;2005;White;1355373.0
ID;Idaho;2006;White;1391427.0
ID;Idaho;2007;White;1423152.0
ID;Idaho;2008;White;1448715.0
ID;Idaho;2009;White;1465210.0
ID;Idaho;2010;White;1478953.0
ID;Idaho;2011;White;1489168.0
ID;Idaho;2012;White;1498398.0
ID;Idaho;2013;White;1511805.0
ID;Idaho;2014;White;1528895.0
ID;Idaho;2015;White;1545120.0
ID;Idaho;2016;White;1571658.0
ID;Idaho;2017;White;1602998.0
ID;Idaho;2018;White;1631664.0
ID;Idaho;2019;White;1664352.0
ID;Idaho;2020;White;1718328.0
ID;Idaho;2021;White;1767425.0
ID;Idaho;2022;White;1799658.0
ID;Idaho;2023;White;1820417.0
ID;Idaho;2024;White;1843921.0
IL;Illinois;1990;White;9422280.0
IL;Illinois;1991;White;9493689.0
IL;Illinois;1992;White;9570091.0
IL;Illinois;1993;White;9636598.0
IL;Illinois;1994;White;9696781.0
IL;Illinois;1995;White;9752800.0
IL;Illinois;1996;White;9808634.0
IL;Illinois;1997;White;9855714.0
IL;Illinois;1998;White;9905512.0
IL;Illinois;1999;White;9951765.0
IL;Illinois;2000;White;9926774.0
IL;Illinois;2001;White;9950330.0
IL;Illinois;2002;White;9959242.0
IL;Illinois;2003;White;9964017.0
IL;Illinois;2004;White;9970145.0
IL;Illinois;2005;White;9964479.0
IL;Illinois;2006;White;9967930.0
IL;Illinois;2007;White;9986807.0
IL;Illinois;2008;White;10005771.0
IL;Illinois;2009;White;10021665.0
IL;Illinois;2010;White;10034422.0
IL;Illinois;2011;White;10034326.0
IL;Illinois;2012;White;10021549.0
IL;Illinois;2013;White;10005716.0
IL;Illinois;2014;White;9974498.0
IL;Illinois;2015;White;9931446.0
IL;Illinois;2016;White;9884277.0
IL;Illinois;2017;White;9831567.0
IL;Illinois;2018;White;9767272.0
IL;Illinois;2019;White;9703046.0
IL;Illinois;2020;White;9786323.0
IL;Illinois;2021;White;9693500.0
IL;Illinois;2022;White;9605763.0
IL;Illinois;2023;White;9588284.0
IL;Illinois;2024;White;9599046.0
IN;Indiana;1990;White;5072268.0
IN;Indiana;1991;White;5119811.0
IN;Indiana;1992;White;5164631.0
IN;Indiana;1993;White;5215578.0
IN;Indiana;1994;White;5256541.0
IN;Indiana;1995;White;5301156.0
IN;Indiana;1996;White;5343204.0
IN;Indiana;1997;White;5377922.0
IN;Indiana;1998;White;5408365.0
IN;Indiana;1999;White;5439927.0
IN;Indiana;2000;White;5435770.0
IN;Indiana;2001;White;5454064.0
IN;Indiana;2002;White;5465558.0
IN;Indiana;2003;White;5487993.0
IN;Indiana;2004;White;5505822.0
IN;Indiana;2005;White;5531635.0
IN;Indiana;2006;White;5562992.0
IN;Indiana;2007;White;5589313.0
IN;Indiana;2008;White;5614404.0
IN;Indiana;2009;White;5628844.0
IN;Indiana;2010;White;5641377.0
IN;Indiana;2011;White;5650177.0
IN;Indiana;2012;White;5654473.0
IN;Indiana;2013;White;5666794.0
IN;Indiana;2014;White;5674283.0
IN;Indiana;2015;White;5673165.0
IN;Indiana;2016;White;5677965.0
IN;Indiana;2017;White;5682625.0
IN;Indiana;2018;White;5692714.0
IN;Indiana;2019;White;5703311.0
IN;Indiana;2020;White;5739566.0
IN;Indiana;2021;White;5742865.0
IN;Indiana;2022;White;5742575.0
IN;Indiana;2023;White;5748898.0
IN;Indiana;2024;White;5759679.0
IA;Iowa;1990;White;2700752.0
IA;Iowa;1991;White;2713759.0
IA;Iowa;1992;White;2730846.0
IA;Iowa;1993;White;2745519.0
IA;Iowa;1994;White;2755709.0
IA;Iowa;1995;White;2769003.0
IA;Iowa;1996;White;2778447.0
IA;Iowa;1997;White;2786925.0
IA;Iowa;1998;White;2795851.0
IA;Iowa;1999;White;2806468.0
IA;Iowa;2000;White;2793299.0
IA;Iowa;2001;White;2790973.0
IA;Iowa;2002;White;2787830.0
IA;Iowa;2003;White;2789316.0
IA;Iowa;2004;White;2794216.0
IA;Iowa;2005;White;2798240.0
IA;Iowa;2006;White;2808422.0
IA;Iowa;2007;White;2816456.0
IA;Iowa;2008;White;2825541.0
IA;Iowa;2009;White;2832951.0
IA;Iowa;2010;White;2842040.0
IA;Iowa;2011;White;2848178.0
IA;Iowa;2012;White;2849733.0
IA;Iowa;2013;White;2854364.0
IA;Iowa;2014;White;2858510.0
IA;Iowa;2015;White;2860390.0
IA;Iowa;2016;White;2860922.0
IA;Iowa;2017;White;2860115.0
IA;Iowa;2018;White;2857883.0
IA;Iowa;2019;White;2858020.0
IA;Iowa;2020;White;2882716.0
IA;Iowa;2021;White;2881618.0
IA;Iowa;2022;White;2877718.0
IA;Iowa;2023;White;2879103.0
IA;Iowa;2024;White;2884435.0
KS;Kansas;1990;White;2282199.0
KS;Kansas;1991;White;2296154.0
KS;Kansas;1992;White;2322111.0
KS;Kansas;1993;White;2342874.0
KS;Kansas;1994;White;2361400.0
KS;Kansas;1995;White;2377804.0
KS;Kansas;1996;White;2388493.0
KS;Kansas;1997;White;2405233.0
KS;Kansas;1998;White;2423613.0
KS;Kansas;1999;White;2435163.0
KS;Kansas;2000;White;2417833.0
KS;Kansas;2001;White;2420268.0
KS;Kansas;2002;White;2424306.0
KS;Kansas;2003;White;2427496.0
KS;Kansas;2004;White;2432319.0
KS;Kansas;2005;White;2437298.0
KS;Kansas;2006;White;2447092.0
KS;Kansas;2007;White;2459729.0
KS;Kansas;2008;White;2473656.0
KS;Kansas;2009;White;2488611.0
KS;Kansas;2010;White;2504296.0
KS;Kansas;2011;White;2509223.0
KS;Kansas;2012;White;2517731.0
KS;Kansas;2013;White;2519950.0
KS;Kansas;2014;White;2521367.0
KS;Kansas;2015;White;2522960.0
KS;Kansas;2016;White;2520758.0
KS;Kansas;2017;White;2516749.0
KS;Kansas;2018;White;2514182.0
KS;Kansas;2019;White;2510853.0
KS;Kansas;2020;White;2528851.0
KS;Kansas;2021;White;2526286.0
KS;Kansas;2022;White;2522826.0
KS;Kansas;2023;White;2528800.0
KS;Kansas;2024;White;2537393.0
KY;Kentucky;1990;White;3407136.0
KY;Kentucky;1991;White;3431875.0
KY;Kentucky;1992;White;3469370.0
KY;Kentucky;1993;White;3510765.0
KY;Kentucky;1994;White;3541719.0
KY;Kentucky;1995;White;3574354.0
KY;Kentucky;1996;White;3600023.0
KY;Kentucky;1997;White;3626605.0
KY;Kentucky;1998;White;3651883.0
KY;Kentucky;1999;White;3676835.0
KY;Kentucky;2000;White;3672766.0
KY;Kentucky;2001;White;3682706.0
KY;Kentucky;2002;White;3696053.0
KY;Kentucky;2003;White;3715675.0
KY;Kentucky;2004;White;3733491.0
KY;Kentucky;2005;White;3759457.0
KY;Kentucky;2006;White;3786270.0
KY;Kentucky;2007;White;3811498.0
KY;Kentucky;2008;White;3835099.0
KY;Kentucky;2009;White;3850283.0
KY;Kentucky;2010;White;3870210.0
KY;Kentucky;2011;White;3882586.0
KY;Kentucky;2012;White;3890072.0
KY;Kentucky;2013;White;3897587.0
KY;Kentucky;2014;White;3900216.0
KY;Kentucky;2015;White;3903242.0
KY;Kentucky;2016;White;3904709.0
KY;Kentucky;2017;White;3909699.0
KY;Kentucky;2018;White;3911710.0
KY;Kentucky;2019;White;3910658.0
KY;Kentucky;2020;White;3933901.0
KY;Kentucky;2021;White;3925306.0
KY;Kentucky;2022;White;3922294.0
KY;Kentucky;2023;White;3933771.0
KY;Kentucky;2024;White;3949272.0
LA;Louisiana;1990;White;2859186.0
LA;Louisiana;1991;White;2868932.0
LA;Louisiana;1992;White;2881820.0
LA;Louisiana;1993;White;2882351.0
LA;Louisiana;1994;White;2890165.0
LA;Louisiana;1995;White;2899055.0
LA;Louisiana;1996;White;2900521.0
LA;Louisiana;1997;White;2906425.0
LA;Louisiana;1998;White;2911235.0
LA;Louisiana;1999;White;2915561.0
LA;Louisiana;2000;White;2894096.0
LA;Louisiana;2001;White;2891300.0
LA;Louisiana;2002;White;2896613.0
LA;Louisiana;2003;White;2904896.0
LA;Louisiana;2004;White;2917956.0
LA;Louisiana;2005;White;2926779.0
LA;Louisiana;2006;White;2810184.0
LA;Louisiana;2007;White;2835720.0
LA;Louisiana;2008;White;2856584.0
LA;Louisiana;2009;White;2881936.0
LA;Louisiana;2010;White;2907937.0
LA;Louisiana;2011;White;2920146.0
LA;Louisiana;2012;White;2929728.0
LA;Louisiana;2013;White;2937838.0
LA;Louisiana;2014;White;2944613.0
LA;Louisiana;2015;White;2952502.0
LA;Louisiana;2016;White;2955459.0
LA;Louisiana;2017;White;2942740.0
LA;Louisiana;2018;White;2930652.0
LA;Louisiana;2019;White;2920412.0
LA;Louisiana;2020;White;2922990.0
LA;Louisiana;2021;White;2902032.0
LA;Louisiana;2022;White;2877662.0
LA;Louisiana;2023;White;2867525.0
LA;Louisiana;2024;White;2864437.0
ME;Maine;1990;White;1214008.0
ME;Maine;1991;White;1218891.0
ME;Maine;1992;White;1219568.0
ME;Maine;1993;White;1223024.0
ME;Maine;1994;White;1223245.0
ME;Maine;1995;White;1223262.0
ME;Maine;1996;White;1228059.0
ME;Maine;1997;White;1232522.0
ME;Maine;1998;White;1235256.0
ME;Maine;1999;White;1241976.0
ME;Maine;2000;White;1242070.0
ME;Maine;2001;White;1248311.0
ME;Maine;2002;White;1255910.0
ME;Maine;2003;White;1263512.0
ME;Maine;2004;White;1268201.0
ME;Maine;2005;White;1270616.0
ME;Maine;2006;White;1273045.0
ME;Maine;2007;White;1274201.0
ME;Maine;2008;White;1275053.0
ME;Maine;2009;White;1272014.0
ME;Maine;2010;White;1268773.0
ME;Maine;2011;White;1267714.0
ME;Maine;2012;White;1266076.0
ME;Maine;2013;White;1264979.0
ME;Maine;2014;White;1265262.0
ME;Maine;2015;White;1262234.0
ME;Maine;2016;White;1263175.0
ME;Maine;2017;White;1264917.0
ME;Maine;2018;White;1267464.0
ME;Maine;2019;White;1270533.0
ME;Maine;2020;White;1286842.0
ME;Maine;2021;White;1298166.0
ME;Maine;2022;White;1305784.0
ME;Maine;2023;White;1309763.0
ME;Maine;2024;White;1310140.0
MD;Maryland;1990;White;3439866.0
MD;Maryland;1991;White;3462951.0
MD;Maryland;1992;White;3478928.0
MD;Maryland;1993;White;3483937.0
MD;Maryland;1994;White;3491672.0
MD;Maryland;1995;White;3497042.0
MD;Maryland;1996;White;3495508.0
MD;Maryland;1997;White;3498276.0
MD;Maryland;1998;White;3503904.0
MD;Maryland;1999;White;3511643.0
MD;Maryland;2000;White;3498455.0
MD;Maryland;2001;White;3514540.0
MD;Maryland;2002;White;3531821.0
MD;Maryland;2003;White;3541596.0
MD;Maryland;2004;White;3545041.0
MD;Maryland;2005;White;3544058.0
MD;Maryland;2006;White;3537775.0
MD;Maryland;2007;White;3528708.0
MD;Maryland;2008;White;3526113.0
MD;Maryland;2009;White;3531017.0
MD;Maryland;2010;White;3545672.0
MD;Maryland;2011;White;3560031.0
MD;Maryland;2012;White;3572455.0
MD;Maryland;2013;White;3576233.0
MD;Maryland;2014;White;3576322.0
MD;Maryland;2015;White;3569943.0
MD;Maryland;2016;White;3561311.0
MD;Maryland;2017;White;3552500.0
MD;Maryland;2018;White;3543575.0
MD;Maryland;2019;White;3532244.0
MD;Maryland;2020;White;3588657.0
MD;Maryland;2021;White;3572426.0
MD;Maryland;2022;White;3556123.0
MD;Maryland;2023;White;3548283.0
MD;Maryland;2024;White;3551301.0
MA;Massachusetts;1990;White;5533629.0
MA;Massachusetts;1991;White;5509497.0
